"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Am08g03430",1929.50218263345,-7.42668600577969,0.339256705924929,-21.8910514547738,3.16137704469959e-106,7.33945294697457e-102
"Am03g09210",616.137092697977,-3.0632540857379,0.153296319422154,-19.9825677308154,7.81016594192632e-89,9.06604062538807e-85
"Am02g33790",12503.4321896336,-3.90051099192125,0.198124624549118,-19.68715903335,2.77841603820502e-86,2.15012355809893e-82
"Am03g00040",335.10153000758,5.63713841788971,0.296432755008874,19.0165841076536,1.24324225136648e-80,7.21577802693105e-77
"Am06g16960",541.009739853607,-5.70040554233678,0.312968738939724,-18.2139774140019,3.9981736857705e-74,1.85643200577696e-70
"Am07g21860",918.541557350926,-5.34713223561633,0.294354395393995,-18.1656272822397,9.65966801123011e-74,3.73764754247864e-70
"Am04g31430",14607.091176547,-2.83975919517859,0.157435186973711,-18.0376398044535,9.8668891140053e-73,3.27242425243924e-69
"Am04g31420",516.727010910396,-5.15468355621886,0.288498633904544,-17.8672719744122,2.12116910749912e-71,6.15563274996244e-68
"Am02g35780",453.024858286608,6.08488598047487,0.344117386642714,17.6825880256746,5.71133069548158e-70,1.47326948251445e-66
"Am04g39020",835.022643067495,-5.85247493871989,0.335013828735705,-17.469353312388,2.45258834479751e-68,5.6939291012819e-65
"Am01g55820",1763.78237973095,-1.67299065128144,0.098369381909233,-17.007229473345,7.25902929130092e-65,1.53205112751675e-61
"Am05g28760",2350.87444747239,-5.5634858934662,0.333924168089117,-16.6609261177569,2.52090518914151e-62,4.8771112392591e-59
"Am01g59840",726.619661736275,-3.37437846917812,0.204823838677009,-16.4745397360668,5.59124678075519e-61,9.98510655861634e-58
"Am01g56520",508.338095597356,-2.5419060267562,0.1551280246284,-16.3858595688638,2.41333158526783e-60,4.00199329168414e-57
"Am04g20620",346.008797814256,-4.1957621363911,0.25863211335192,-16.2228970022835,3.47414258083623e-59,5.37704627711292e-56
"Am02g39250",1336.64409797477,-8.4978935024261,0.539884206804924,-15.7402150226199,8.01707912206632e-56,1.16327818061182e-52
"Am08g35710",2189.21189802429,-2.94274783627303,0.191493904179216,-15.3673186041419,2.71161487414681e-53,3.70310887754073e-50
"Am04g06940",8592.56545532701,-3.85780077213018,0.251724004873946,-15.3255180174891,5.16412040101617e-53,6.66056773499953e-50
"Am07g05490",347.371390653946,7.75234383329142,0.523274781045552,14.8150534176356,1.17096148773394e-49,1.4307916789069e-46
"Am01g40380",469.701492845641,-7.17863845413712,0.491615709532425,-14.6021339736371,2.72190214889772e-48,3.15958401444047e-45
"Am01g30030",176.730208926895,-5.62117996169748,0.390621487201752,-14.390350110961,5.94939755821631e-47,6.57720065293095e-44
"Am02g17330",267.793804218293,-5.82279817251404,0.407805700306971,-14.2783638584036,2.98528138817827e-46,3.1502860321794e-43
"Am01g47990",299.038622156212,-7.48100727352609,0.524424635218361,-14.2651713346974,3.60704962485371e-46,3.64092452567843e-43
"Am04g27410",3796.28160396419,3.531659723187,0.248009724056807,14.2400050506812,5.17233176496548e-46,5.00336892730994e-43
"Am06g36700",159.927702953638,4.22427185687957,0.301537052494424,14.0091302940546,1.37073295509664e-44,1.27291745142094e-41
"Am06g37420",358.86072631933,-5.35565239577147,0.383121926039956,-13.9789764870124,2.0947891023012e-44,1.87048553073172e-41
"Am06g29640",6817.19448438858,-5.10248059708731,0.365862286467213,-13.9464513993972,3.3065240276327e-44,2.84312080835262e-41
"Am03g33970",293.302339655974,-6.79926328717031,0.497141972147256,-13.6767033726863,1.39892574162931e-42,1.15990928634522e-39
"Am01g59320",306.930759831433,-2.89099531975816,0.211802419414396,-13.6494914824456,2.0329220050373e-42,1.62745921617055e-39
"Am06g38850",14682.6206722445,-2.76357000338312,0.202933422295132,-13.6181116551811,3.12544916217639e-42,2.41868092496957e-39
"Am05g26100",3395.85152678687,-7.07334488476334,0.525124241166794,-13.4698502378157,2.35342866237458e-41,1.76249031695768e-38
"Am02g00770",865.040023115451,-10.0159569768755,0.744600729703819,-13.4514466308132,3.01907435150916e-41,2.1903384420199e-38
"Am07g04560",2496.85104445331,1.41227339791146,0.105210996581888,13.4232489358873,4.41906592378263e-41,3.10887983292538e-38
"Am06g22830",214.312178246246,-3.5095450277706,0.262438341473267,-13.3728364844437,8.71528515677337e-41,5.95100177057796e-38
"Am01g07830",1418.81187055983,2.92679096064997,0.220475756029918,13.2748879666062,3.23754936304918e-40,2.09206580504916e-37
"Am07g09790",281.484576572001,-4.07270075337266,0.306800857192935,-13.2747372045688,3.2440717169956e-40,2.09206580504916e-37
"Am06g35860",452.029441892007,4.11551051114142,0.310661392097908,13.2475763510529,4.66011010121096e-40,2.92403016512739e-37
"Am03g06670",24329.2015352463,-3.31118338842676,0.25552267358871,-12.9584719114064,2.10397051248206e-38,1.28541524783641e-35
"Am03g20110",329.127662677209,4.20901390258592,0.325095159591076,12.9470211364582,2.4424925870163e-38,1.45397199744027e-35
"Am05g00570",702.999125867128,4.68383701442392,0.363866102528445,12.8724192275035,6.43544016092344e-38,3.73512946939996e-35
"Am08g02980",218.747236045779,-6.63043574213439,0.525304860087891,-12.6220719546075,1.59566970691832e-36,9.03538241849166e-34
"Am08g27230",1563.00796345782,-3.27391849946464,0.260345491143851,-12.5752840392218,2.88760587748911e-36,1.59615852504255e-33
"Am05g36100",288.87343773047,3.97058450635107,0.317246474723642,12.5157718767716,6.12099395808254e-36,3.30476734257777e-33
"Am01g10590",334.306409857063,-4.62964446779404,0.374041222323198,-12.3773642889919,3.46537196364072e-35,1.8284562615428e-32
